"國語注音符號第一式","威妥瑪拼音","國語注音符號第二式","耶魯拼音","法國遠東學院拼音","德國式拼音","華語通用拼音","漢語拼音方案","國語羅馬字:第一聲","第二聲","第三聲","第四聲"
"ㄚ","a","a","a","a","a","a","a","a","ar","aa","ah"
"ㄞ","ai","ai","ai","ngai","ai","ai","ai","ai","air","ae","ay"
"ㄢ","an","an","an","ngan","an","an","an","an","arn","aan","ann"
"ㄤ","ang","ang","ang","ngang","ang","ang","ang","ang","arng","aang","anq"
"ㄠ","ao","au","au","ngao","au","au","ao","au","aur","ao","aw"
"ㄓㄚ","cha","ja","ja","tcha","dscha","jha","zha","ja","jar","jaa","jah"
"ㄔㄚ","ch'a","cha","cha","tch'a","tcha","cha","cha","cha","char","chaa","chah"
"ㄓㄞ","chai","jai","jai","tchai","dschai","jhai","zhai","jai","jair","jae","jay"
"ㄔㄞ","ch'ai","chai","chai","tch'ai","tchai","chai","chai","chai","chair","chae","chay"
"ㄓㄢ","chan","jan","jan","tchan","dschan","jhan","zhan","jan","jarn","jaan","jann"
"ㄔㄢ","ch'an","chan","chan","tch'an","tschan","chan","chan","chan","charn","chaan","chann"
"ㄓㄤ","chang","jang","jang","tchang","dschang","jhang","zhang","jang","jarng","jaang","janq"
"ㄔㄤ","ch'ang","chang","chang","tch'ang","tschang","chang","chang","chang","charng","chaang","chanq"
"ㄓㄠ","chao","jau","jau","tchao","dschau","jhao","zhao","jau","jaur","jao","jaw"
"ㄔㄠ","ch'ao","chau","chau","tch'ao","tschau","chao","chao","chau","chaur","chao","chaw"
"ㄓㄜ","chê","je","je","tchö","dschö","jhe","zhe","je","jer","jee","jeh"
"ㄔㄜ","ch'ê","che","che","tch'ö","tschö","che","che","che","cher","chee","cheh"
"ㄓㄟ","chei","jei","jei","tchei","dsche","jhei","zhei","jei","jeir","jeei","jey"
"ㄓㄣ","chên","jen","jen","tchen","dschën","jhen","zhen","jen","jern","jeen","jenn"
"ㄔㄣ","ch'ên","chen","chen","tch'en","tschën","chen","chen","chen","chern","cheen","chenn"
"ㄓㄥ","chêng","jeng","jeng","tcheng","dschëng","jheng","zheng","jeng","jerng","jeeng","jenq"
"ㄔㄥ","ch'êng","cheng","cheng","tch'eng","tschëng","cheng","cheng","cheng","cherng","cheeng","chenq"
"ㄐㄧ","chi","ji","ji","ki","dji","ji","ji","ji","jyi","jii","jih"
"ㄑㄧ","ch'i","chi","chi","k'i","tji","ci","qi","chi","chyi","chii","chih"
"ㄐㄧㄚ","chia","jia","jya","kia","djia","jia","jia","jia","jya","jea","jiah"
"ㄑㄧㄚ","ch'ia","chia","chya","k'ia","tjia","cia","qia","chia","chya","chea","chiah"
"ㄐㄧㄤ","chiang","jiang","jyang","kiang","djiang","jiang","jiang","jiang","jyang","jeang","jianq"
"ㄑㄧㄤ","ch'iang","chiang","chyang","k'iang","tjiang","ciang","qiang","chiang","chyang","cheang","chianq"
"ㄐㄧㄠ","chiao","jiau","jyau","kiao","djiau","jiao","jiao","jiau","jyau","jeau","jiaw"
"ㄑㄧㄠ","ch'iao","chiau","chyau","k'iao","tjiau","ciao","qiao","chiau","chyau","cheau","chiaw"
"ㄐㄧㄝ","chieh","jie","jye","kie","djiä","jie","jie","jie","jye","jiee","jieh"
"ㄑㄧㄝ","ch'ieh","chie","chye","k'ie","tjiä","cie","qie","chie","chye","chiee","chieh"
"ㄐㄧㄢ","chien","jian","jyan","kien","djiän","jian","jian","jian","jyan","jean","jiann"
"ㄑㄧㄢ","ch'ien","chian","chyan","k'ien","tjiän","cian","qian","chian","chyan","chean","chiann"
"ㄓ","chih","jr","jr","tche","dschï","jhih","zhi","jy","jyr","jyy","jyh"
"ㄔ","ch'ih","chr","chr","tch'e","tschï","chih","chi","chy","chyr","chyy","chyh"
"ㄐㄧㄣ","chin","jin","jin","kin","djin","jin","jin","jin","jyn","jiin","jinn"
"ㄑㄧㄣ","ch'in","chin","chin","k'in","tjin","cin","qin","chin","chyn","chiin","chinn"
"ㄐㄧㄥ","ching","jing","jing","king","djing","jing","jing","jing","jyng","jiing","jinq"
"ㄑㄧㄥ","ch'ing","ching","ching","k'ing","tjing","cing","qing","ching","chyng","chiing","chinq"
"ㄐㄧㄡ","chiu","jiou","jyou","kieou","djiu","jiou","jiu","jiou","jyou","jeou","jiow"
"ㄑㄧㄡ","ch'iu","chiou","chyou","k'ieou","tjiu","ciou","qiu","chiou","chyou","cheou","chiow"
"ㄐㄩㄥ","chiung","jiung","jyung","kiong","djiung","jyong","jiong","jiong","jyong","jeong","jionq"
"ㄑㄩㄥ","ch'iung","chiung","chyung","k'iong","tjiung","cyong","qiong","chiong","chyong","cheong","chionq"
"ㄓㄨㄛ","cho","juo","jwo","tchouo","dscho","jhuo","zhuo","juo","jwo","juoo","juoh"
"ㄔㄨㄛ","ch'o","chuo","chwo","tch'ouo","tscho","chuo","chuo","chuo","chwo","chuoo","chuoh"
"ㄓㄡ","chou","jou","jou","tcheou","dschou","jhou","zhou","jou","jour","joou","jow"
"ㄔㄡ","ch'ou","chou","chou","tch'eou","tschou","chou","chou","chou","chour","choou","chow"
"ㄓㄨ","chu","ju","ju","tchou","dschu","jhu","zhu","ju","jwu","juu","juh"
"ㄔㄨ","ch'u","chu","chu","tch'ou","tschu","chu","chu","chu","chwu","chuu","chuh"
"ㄓㄨㄚ","chua","jua","jwa","tchoua","dschua","jhua","zhua","jua","jwa","joa","juah"
